"id";"project_id";"LOOP_RATE";"POINT_STEP";"QUERY_INTERVAL";"OPERATION";"Latency_AVG"
"318";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_02_18_909";"10";"5000";"1950000";"AGG_RANGE_VALUE_QUERY";"1690.11"
"326";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_02_43_469";"10";"5000";"2000000";"AGG_RANGE_VALUE_QUERY";"1712.78"
"4";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_27_785";"10";"5000";"1000";"AGG_RANGE_QUERY";"5.68"
"12";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_41_544";"10";"5000";"50000";"AGG_RANGE_QUERY";"12.73"
"20";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_55_341";"10";"5000";"100000";"AGG_RANGE_QUERY";"16.01"
"28";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_09_684";"10";"5000";"150000";"AGG_RANGE_QUERY";"26.7"
"36";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_23_933";"10";"5000";"200000";"AGG_RANGE_QUERY";"32.67"
"44";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_38_263";"10";"5000";"250000";"AGG_RANGE_QUERY";"42.44"
"52";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_52_662";"10";"5000";"300000";"AGG_RANGE_QUERY";"52.32"
"60";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_07_712";"10";"5000";"350000";"AGG_RANGE_QUERY";"63.37"
"68";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_22_618";"10";"5000";"400000";"AGG_RANGE_QUERY";"79.14"
"76";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_37_582";"10";"5000";"450000";"AGG_RANGE_QUERY";"85.37"
"84";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_52_611";"10";"5000";"500000";"AGG_RANGE_QUERY";"96.87"
"92";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_07_966";"10";"5000";"550000";"AGG_RANGE_QUERY";"106.62"
"100";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_23_380";"10";"5000";"600000";"AGG_RANGE_QUERY";"113.97"
"108";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_38_870";"10";"5000";"650000";"AGG_RANGE_QUERY";"142.43"
"116";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_54_581";"10";"5000";"700000";"AGG_RANGE_QUERY";"146.3"
"124";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_10_604";"10";"5000";"750000";"AGG_RANGE_QUERY";"168.7"
"132";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_26_442";"10";"5000";"800000";"AGG_RANGE_QUERY";"170.55"
"140";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_42_793";"10";"5000";"850000";"AGG_RANGE_QUERY";"185.54"
"148";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_59_723";"10";"5000";"900000";"AGG_RANGE_QUERY";"717.43"
"156";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_31_19_480";"10";"5000";"950000";"AGG_RANGE_QUERY";"769.96"
"164";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_31_44_057";"10";"5000";"1000000";"AGG_RANGE_QUERY";"784.48"
"172";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_54_51_492";"10";"5000";"1050000";"AGG_RANGE_QUERY";"789.16"
"180";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_55_16_227";"10";"5000";"1100000";"AGG_RANGE_QUERY";"802.38"
